method,method_label,n_seeds,valid_fraction_mean,valid_fraction_std,n_unique_mean,n_unique_std,unique_fraction_mean,unique_fraction_std,mean_proxy_mean,mean_proxy_std,n_modes_mean,n_modes_std,n_scaffolds_proxy_gt_7_mean,n_scaffolds_proxy_gt_7_std
grpo,GRPO,3,1.0,0.0,5.666666666666667,5.033222956847166,0.00011333333333333334,0.00010066445913694333,4.260729241264661,0.4238535273703433,0.0,0.0,0.0,0.0
count_ips_grpo,Count IPS-GRPO,3,1.0,0.0,86.66666666666667,143.19683422943865,0.0017333333333333335,0.0028639366845887733,3.8158681583627065,1.373795990836612,0.0,0.0,0.0,0.0
mips_grpo,MIPS-GRPO,3,0.9964466666666668,0.0014173684536257294,46629.666666666664,1223.1452625642357,0.9359145247011655,0.024272085443639055,4.281153232416511,0.1773527201033843,22.333333333333332,17.039170558842745,32.0,25.514701644346147
rgfn,RGFN,3,0.9994200000000001,0.0009361623790774814,37247.0,1959.9181105342132,0.745397185622183,0.039938077839522294,4.227332094882318,0.4213552578972358,14.0,9.16515138991168,32.333333333333336,24.193663082165408
