[final] running: /home/armaan/phylogfn/.venv/bin/python -u -m learned_reverse_ips.train --run-name learned_reverse_27taxa_noreplay_b4096_seed1 --cfg src/configs/benchmark_dna_cfgs/discrete_branch_lengths/cfg_0.001binsize_50bins_temperature_anneal_0.4_27taxa_shift12000.yaml --dataset dataset/benchmark_datasets/DS1.pickle --output final/runs/27taxa_noreplay_b4096_seed1/learned_reverse --seed 1 --epochs 25000 --steps-per-epoch 1 --on-policy-batch-size 1024 --replay-batch-size 0 --replay-buffer-size 512 --checkpoint-every 1000 --full-model --outcome-level signature --advantage-reward-mode log_reward --grpo-lr 1e-4 --grpo-entropy-coef 0.0 --grpo-num-iterations 1 --rollout-chunk-size 1024 --print-every 25 --disable-replay --reward-target shifted_linear --reverse-lr 0.001 --reverse-train-epochs 8 --reverse-hidden-size 256 --reverse-num-layers 3 --skip-post-train --reverse-policy mlp --resume-from /home/armaan/phylogfn/final/runs/27taxa_noreplay_b4096_seed1/learned_reverse/20260825_210645_learned_reverse_27taxa_noreplay_b4096_seed1_learned_reverse_ips_grpo --mini-batch-splits 4
cpu_threads=2
/home/armaan/phylogfn/src/gfn/tb_gfn_phylo.py:126: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler()
warning: removing 2484 metrics records newer than committed checkpoint checkpoint_epoch15999.pt
resuming from checkpoint_epoch15999.pt: global_step=64000 mode=on_policy
  continue epochs [16000, 25000)
restored learned-reverse state from learned_reverse_epoch15999.pt
run_dir=/home/armaan/phylogfn/final/runs/27taxa_noreplay_b4096_seed1/learned_reverse/20260825_210645_learned_reverse_27taxa_noreplay_b4096_seed1_learned_reverse_ips_grpo
method=learned_reverse_ips_grpo device=cuda:0 reverse_policy_type=mlp outcome_level=signature reward_target=shifted_linear full_model=True G_on=1024 G_replay=0 G_total=1024 replay_buffer=0
weight=R(x)*q_phi(tau|x)/P_F(tau); reverse update happens after PPO
step=64900 loss=-0.0021 reverse_nll=0.0039 ESS=0.992 batch_outcomes=256 batch_topologies=256 seen=16614654
step=64925 loss=-0.0049 reverse_nll=0.0016 ESS=0.992 batch_outcomes=256 batch_topologies=256 seen=16621054
step=64950 loss=-0.0007 reverse_nll=0.0070 ESS=0.988 batch_outcomes=256 batch_topologies=256 seen=16627453
step=64975 loss=-0.0123 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16633852
step=65000 loss=-0.0110 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16640252
step=65025 loss=-0.0095 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16646652
step=65050 loss=-0.0047 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16653050
step=65075 loss=-0.0052 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16659450
step=65100 loss=-0.0068 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16665848
step=65125 loss=-0.0045 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16672248
step=65150 loss=-0.0020 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16678648
step=65175 loss=-0.0021 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16685047
step=65200 loss=0.0013 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16691446
step=65225 loss=-0.0006 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16697842
step=65250 loss=0.0002 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16704239
step=65275 loss=0.0004 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16710635
step=65300 loss=0.0021 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16717030
step=65325 loss=-0.0021 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16723420
step=65350 loss=-0.0019 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16729810
step=65375 loss=0.0009 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16736205
step=65400 loss=0.0022 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16742602
step=65425 loss=-0.0005 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16748995
step=65450 loss=0.0012 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16755391
step=65475 loss=-0.0014 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16761787
step=65500 loss=0.0020 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16768173
step=65525 loss=-0.0004 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16774566
step=65550 loss=0.5820 reverse_nll=0.1213 ESS=0.438 batch_outcomes=256 batch_topologies=256 seen=16780955
step=65575 loss=-0.0478 reverse_nll=0.1525 ESS=0.983 batch_outcomes=256 batch_topologies=256 seen=16787346
step=65600 loss=-0.0418 reverse_nll=0.0952 ESS=0.976 batch_outcomes=256 batch_topologies=256 seen=16793731
step=65625 loss=-0.0479 reverse_nll=0.0028 ESS=0.988 batch_outcomes=256 batch_topologies=256 seen=16800123
step=65650 loss=-0.0246 reverse_nll=0.0096 ESS=0.972 batch_outcomes=256 batch_topologies=256 seen=16806513
step=65675 loss=-0.0352 reverse_nll=0.0446 ESS=0.995 batch_outcomes=256 batch_topologies=256 seen=16812895
step=65700 loss=-0.0370 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16819282
step=65725 loss=-0.0238 reverse_nll=0.0002 ESS=0.998 batch_outcomes=256 batch_topologies=256 seen=16825665
step=65750 loss=0.0188 reverse_nll=0.0003 ESS=0.971 batch_outcomes=256 batch_topologies=256 seen=16832046
step=65775 loss=-0.0165 reverse_nll=0.0018 ESS=0.997 batch_outcomes=256 batch_topologies=256 seen=16838424
step=65800 loss=0.0038 reverse_nll=0.0066 ESS=0.985 batch_outcomes=256 batch_topologies=256 seen=16844808
step=65825 loss=-0.0096 reverse_nll=0.0019 ESS=0.995 batch_outcomes=256 batch_topologies=256 seen=16851187
step=65850 loss=-0.0098 reverse_nll=0.0095 ESS=0.996 batch_outcomes=256 batch_topologies=256 seen=16857561
step=65875 loss=-0.0112 reverse_nll=0.0007 ESS=0.995 batch_outcomes=256 batch_topologies=256 seen=16863933
step=65900 loss=-0.0084 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16870304
step=65925 loss=-0.0090 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16876682
step=65950 loss=-0.0075 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16883039
step=65975 loss=-0.0050 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16889395
step=66000 loss=-0.0031 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16895744
step=66025 loss=-0.0043 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16902092
step=66050 loss=-0.0003 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16908429
step=66075 loss=-0.0033 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16914775
step=66100 loss=-0.0037 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16921120
step=66125 loss=-0.0002 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16927455
step=66150 loss=0.0006 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16933789
step=66175 loss=-0.0003 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16940126
step=66200 loss=-0.0007 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16946451
step=66225 loss=-0.0012 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16952779
step=66250 loss=0.0017 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16959092
step=66275 loss=-0.0005 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16965414
step=66300 loss=-0.0017 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16971712
step=66325 loss=-0.0003 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16978025
step=66350 loss=-0.0038 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16984348
step=66375 loss=0.0006 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=16990651
step=66400 loss=-0.0019 reverse_nll=0.1947 ESS=0.976 batch_outcomes=256 batch_topologies=256 seen=16996931
step=66425 loss=-0.0079 reverse_nll=0.0495 ESS=0.977 batch_outcomes=256 batch_topologies=256 seen=17003242
step=66450 loss=-0.0263 reverse_nll=0.0012 ESS=0.987 batch_outcomes=256 batch_topologies=256 seen=17009503
step=66475 loss=-0.0316 reverse_nll=0.1064 ESS=0.994 batch_outcomes=256 batch_topologies=256 seen=17015816
step=66500 loss=-0.0102 reverse_nll=0.0014 ESS=0.982 batch_outcomes=256 batch_topologies=256 seen=17022096
step=66525 loss=-0.0276 reverse_nll=0.0005 ESS=0.997 batch_outcomes=256 batch_topologies=256 seen=17028390
step=66550 loss=-0.0186 reverse_nll=0.0328 ESS=0.991 batch_outcomes=256 batch_topologies=256 seen=17034651
step=66575 loss=-0.0224 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17040875
step=66600 loss=-0.0150 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17047140
step=66625 loss=-0.0103 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17053408
step=66650 loss=0.0273 reverse_nll=0.0187 ESS=0.974 batch_outcomes=256 batch_topologies=256 seen=17059628
step=66675 loss=-0.0041 reverse_nll=0.0049 ESS=0.993 batch_outcomes=256 batch_topologies=256 seen=17065868
step=66700 loss=-0.0128 reverse_nll=0.0033 ESS=0.996 batch_outcomes=256 batch_topologies=256 seen=17072104
step=66725 loss=-0.0115 reverse_nll=0.0004 ESS=0.998 batch_outcomes=256 batch_topologies=256 seen=17078333
step=66750 loss=-0.0124 reverse_nll=0.0004 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17084577
step=66775 loss=-0.0105 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17090836
step=66800 loss=-0.0081 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17097060
step=66825 loss=-0.0081 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17103294
step=66850 loss=-0.0076 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17109426
step=66875 loss=-0.0022 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17115652
step=66900 loss=-0.0036 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17121919
step=66925 loss=-0.0009 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17128154
step=66950 loss=-0.0032 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17134393
step=66975 loss=0.0011 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17140640
step=67000 loss=-0.0011 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17146780
step=67025 loss=-0.0005 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17152880
step=67050 loss=0.0000 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17158985
step=67075 loss=-0.0048 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17165036
step=67100 loss=-0.0010 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17171096
step=67125 loss=-0.0006 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17177185
step=67150 loss=0.1514 reverse_nll=0.9595 ESS=0.878 batch_outcomes=256 batch_topologies=256 seen=17183243
step=67175 loss=0.0567 reverse_nll=0.0463 ESS=0.950 batch_outcomes=256 batch_topologies=256 seen=17189266
step=67200 loss=0.0851 reverse_nll=0.0854 ESS=0.909 batch_outcomes=256 batch_topologies=256 seen=17195291
step=67225 loss=0.0108 reverse_nll=0.0690 ESS=0.967 batch_outcomes=256 batch_topologies=256 seen=17201272
step=67250 loss=-0.0175 reverse_nll=0.0004 ESS=0.991 batch_outcomes=256 batch_topologies=256 seen=17207253
step=67275 loss=-0.0245 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17213187
step=67300 loss=-0.0019 reverse_nll=0.0022 ESS=0.982 batch_outcomes=256 batch_topologies=256 seen=17219144
step=67325 loss=-0.0139 reverse_nll=0.0005 ESS=0.995 batch_outcomes=256 batch_topologies=256 seen=17225071
step=67350 loss=-0.0158 reverse_nll=0.0002 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17231025
step=67375 loss=-0.0150 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17236909
step=67400 loss=-0.0150 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17242875
step=67425 loss=-0.0108 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17248751
step=67450 loss=-0.0064 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17254635
step=67475 loss=-0.0057 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17260468
step=67500 loss=-0.0053 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17266383
step=67525 loss=-0.0035 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17272222
step=67550 loss=-0.0053 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17278013
step=67575 loss=-0.0032 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17283866
step=67600 loss=-0.0021 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17289634
step=67625 loss=-0.0034 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17295415
step=67650 loss=-0.0003 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17301198
step=67675 loss=-0.0002 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=17306977
