method,n_seeds,importance_ess_mean,importance_ess_std,importance_ess_fraction_mean,importance_ess_fraction_std,log_importance_weight_mean_mean,log_importance_weight_mean_std,log_importance_weight_std_mean,log_importance_weight_std_std,mean_log_reward_mean,mean_log_reward_std,mean_proxy_mean,mean_proxy_std,n_mode_candidates_mean,n_mode_candidates_std,n_modes_mean,n_modes_std,n_scaffolds_proxy_gt_7_mean,n_scaffolds_proxy_gt_7_std,n_scaffolds_proxy_gt_8_mean,n_scaffolds_proxy_gt_8_std,n_unique_mean,n_unique_std,unique_fraction_mean,unique_fraction_std,valid_fraction_mean,valid_fraction_std,train_final_ips_clipped_fraction_mean,train_final_ips_clipped_fraction_std,train_final_ips_duplicate_fraction_mean,train_final_ips_duplicate_fraction_std,train_final_ips_unique_outcomes_mean,train_final_ips_unique_outcomes_std,top_modes_mean_molecular_weight_mean,top_modes_mean_molecular_weight_std,top_modes_mean_proxy_mean,top_modes_mean_proxy_std,top_modes_mean_qed_mean,top_modes_mean_qed_std,top_modes_mean_reward_mean,top_modes_mean_reward_std,top_modes_mean_sa_score_mean,top_modes_mean_sa_score_std,top_modes_unique_scaffolds_mean,top_modes_unique_scaffolds_std,train_final_ips_ess_fraction_mean,train_final_ips_ess_fraction_std,train_final_reverse_loss_mean,train_final_reverse_loss_std
grpo,3,16688.552636433484,28848.55982693318,0.33377105272866964,0.5769711965386636,31.05852833661397,3.198406926024466,0.45017714180147617,0.5185271671088967,34.08583393011729,3.3908282189627466,4.260729241264661,0.4238535273703433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.666666666666667,5.033222956847166,0.00011333333333333334,0.00010066445913694333,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
count_ips_grpo,3,11622.5522904741,20129.09520367596,0.23245104580948195,0.4025819040735192,29.34129016000112,9.440661703948223,2.507454762681182,3.3439393375525164,30.526945266901652,10.990367926692896,3.8158681583627065,1.373795990836612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.66666666666667,143.19683422943865,0.0017333333333333335,0.0028639366845887733,1.0,0.0,0.0,0.0,0.8533333333333334,0.23671361036774652,14.666666666666666,23.671361036774655,,,,,,,,,,,,,,,,
mips_grpo,3,2.535227233770628,1.6349686580192668,5.070454467541256e-05,3.2699373160385336e-05,52.6097543567276,3.8100741756488765,7.885826649771782,0.19866119841947286,34.249225859332086,1.4188217608270743,4.281153232416511,0.1773527201033843,33.0,26.457513110645905,22.333333333333332,17.039170558842745,32.0,25.514701644346147,0.3333333333333333,0.5773502691896257,46629.666666666664,1223.1452625642357,0.9359145247011655,0.024272085443639055,0.9964466666666668,0.0014173684536257294,,,,,,,555.165711843712,25.604073521416982,7.209976605006627,0.06123571796077048,0.298832111318784,0.0379563962542235,1.424136059045203e+26,1.8227803344631822e+26,3.0159282672477388,0.0983089980948416,22.333333333333332,17.039170558842745,0.06544070939222972,0.03501128705024009,2.0216157833735147,0.3092094273765191
rgfn,3,4.73159532132019,4.922041953052051,9.463190642640378e-05,9.844083906104101e-05,45.469345726385114,3.657727921165578,8.196273647293406,1.0974824041762083,33.81865675905854,3.3708420631778866,4.227332094882318,0.4213552578972358,37.666666666666664,28.919428302325297,14.0,9.16515138991168,32.333333333333336,24.193663082165408,0.0,0.0,37247.0,1959.9181105342132,0.745397185622183,0.039938077839522294,0.9994200000000001,0.0009361623790774814,,,,,,,594.1897613636365,43.984495869416904,7.1906176155263735,0.07564648507149667,0.2228829617494051,0.05572654504289705,4.157332446796349e+25,4.234615695229042e+25,3.1844809270144823,0.21083489239563621,14.0,9.16515138991168,,,,
