[final] running: /home/armaan/phylogfn/.venv/bin/python -u -m learned_reverse_ips.train --run-name learned_reverse_27taxa_noreplay_b4096_seed0 --cfg src/configs/benchmark_dna_cfgs/discrete_branch_lengths/cfg_0.001binsize_50bins_temperature_anneal_0.4_27taxa_shift12000.yaml --dataset dataset/benchmark_datasets/DS1.pickle --output final/runs/27taxa_noreplay_b4096_seed0/learned_reverse --seed 0 --epochs 25000 --steps-per-epoch 1 --on-policy-batch-size 1024 --replay-batch-size 0 --replay-buffer-size 512 --checkpoint-every 1000 --full-model --outcome-level signature --advantage-reward-mode log_reward --grpo-lr 1e-4 --grpo-entropy-coef 0.0 --grpo-num-iterations 1 --rollout-chunk-size 1024 --print-every 25 --disable-replay --reward-target shifted_linear --reverse-lr 0.001 --reverse-train-epochs 8 --reverse-hidden-size 256 --reverse-num-layers 3 --skip-post-train --reverse-policy mlp --resume-from final/runs/27taxa_noreplay_b4096_seed0/learned_reverse/20260825_191559_learned_reverse_27taxa_noreplay_b4096_seed0_learned_reverse_ips_grpo --mini-batch-splits 4
cpu_threads=2
/home/armaan/phylogfn/src/gfn/tb_gfn_phylo.py:126: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  self.scaler = torch.cuda.amp.GradScaler()
warning: removing 533 metrics records newer than committed checkpoint checkpoint_epoch14999.pt
resuming from checkpoint_epoch14999.pt: global_step=60000 mode=on_policy
  continue epochs [15000, 25000)
restored learned-reverse state from learned_reverse_epoch14999.pt
run_dir=/home/armaan/phylogfn/final/runs/27taxa_noreplay_b4096_seed0/learned_reverse/20260825_191559_learned_reverse_27taxa_noreplay_b4096_seed0_learned_reverse_ips_grpo
method=learned_reverse_ips_grpo device=cuda:0 reverse_policy_type=mlp outcome_level=signature reward_target=shifted_linear full_model=True G_on=1024 G_replay=0 G_total=1024 replay_buffer=0
weight=R(x)*q_phi(tau|x)/P_F(tau); reverse update happens after PPO
step=60900 loss=-0.0296 reverse_nll=0.0623 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15590655
step=60925 loss=-0.0084 reverse_nll=0.0356 ESS=0.985 batch_outcomes=256 batch_topologies=256 seen=15597053
step=60950 loss=-0.0220 reverse_nll=0.0058 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15603452
step=60975 loss=-0.0162 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15609850
step=61000 loss=-0.0179 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15616250
step=61025 loss=-0.0095 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15622650
step=61050 loss=-0.0075 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15629050
step=61075 loss=-0.0074 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15635443
step=61100 loss=-0.0044 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15641839
step=61125 loss=-0.0042 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15648237
step=61150 loss=-0.0031 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15654635
step=61175 loss=-0.0028 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15661032
step=61200 loss=0.1321 reverse_nll=0.2357 ESS=0.884 batch_outcomes=256 batch_topologies=256 seen=15667431
step=61225 loss=0.0560 reverse_nll=0.0238 ESS=0.949 batch_outcomes=256 batch_topologies=256 seen=15673828
step=61250 loss=0.0022 reverse_nll=0.0007 ESS=0.981 batch_outcomes=256 batch_topologies=256 seen=15680224
step=61275 loss=-0.0208 reverse_nll=0.0051 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15686620
step=61300 loss=-0.0151 reverse_nll=0.0181 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15693015
step=61325 loss=-0.0170 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15699409
step=61350 loss=-0.0144 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15705801
step=61375 loss=-0.0100 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15712190
step=61400 loss=-0.0064 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15718575
step=61425 loss=-0.0079 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15724964
step=61450 loss=-0.0044 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15731316
step=61475 loss=0.0657 reverse_nll=0.0143 ESS=0.949 batch_outcomes=256 batch_topologies=256 seen=15737700
step=61500 loss=0.0205 reverse_nll=0.0386 ESS=0.981 batch_outcomes=256 batch_topologies=256 seen=15744086
step=61525 loss=-0.0111 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15750468
step=61550 loss=-0.0086 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15756846
step=61575 loss=-0.0071 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15763230
step=61600 loss=-0.0046 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15769599
step=61625 loss=-0.0043 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15775969
step=61650 loss=-0.0028 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15782340
step=61675 loss=-0.0040 reverse_nll=0.0001 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15788714
step=61700 loss=-0.0032 reverse_nll=0.0000 ESS=0.999 batch_outcomes=256 batch_topologies=256 seen=15795079
step=61725 loss=0.0806 reverse_nll=2.9908 ESS=0.946 batch_outcomes=256 batch_topologies=256 seen=15801432
step=61750 loss=0.0264 reverse_nll=0.0440 ESS=0.965 batch_outcomes=256 batch_topologies=256 seen=15807790
